Model,k,Initialization_Method,Measure,Mean,SE,n_seeds,Seeds_Used,Values_Aggregated
IWAE,1,KaimingNormal,Test_Activity,14.2,0.19999999999999998,5,"135, 630, 924, 10, 32","14.000000, 14.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,KaimingNormal,Test_KL,22.416707611083986,0.20092623262873283,5,"135, 630, 924, 10, 32","22.255722, 22.374760, 22.175163, 23.196901, 22.080992"
IWAE,1,KaimingNormal,Test_NLL,74.75994110107422,0.24580081837443166,5,"135, 630, 924, 10, 32","75.023979, 74.899239, 75.121185, 73.787544, 74.967758"
IWAE,1,KaimingNormal,Test_NLL+KL,97.17664947509766,0.06622912812338808,5,"135, 630, 924, 10, 32","97.279701, 97.274002, 97.296349, 96.984444, 97.048752"
IWAE,1,KaimingNormal,Training_Activity,14.2,0.19999999999999998,5,"135, 630, 924, 10, 32","14.000000, 14.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,KaimingNormal,Training_KL,22.479211044311523,0.1525569779704665,5,"135, 630, 924, 10, 32","22.396622, 22.242380, 22.398300, 23.076796, 22.281958"
IWAE,1,KaimingNormal,Training_NLL,74.64360809326172,0.20599452092022916,5,"135, 630, 924, 10, 32","74.972427, 74.984306, 74.792755, 73.868813, 74.599739"
IWAE,1,KaimingNormal,Training_NLL+KL,97.12281951904296,0.09099877856713816,5,"135, 630, 924, 10, 32","97.369049, 97.226685, 97.191055, 96.945610, 96.881699"
IWAE,1,KaimingUni,Test_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,KaimingUni,Test_KL,22.874388885498046,0.052087668675396034,5,"135, 630, 924, 10, 32","22.769083, 22.789194, 22.903620, 22.850008, 23.060040"
IWAE,1,KaimingUni,Test_NLL,74.37182312011718,0.11795061712510717,5,"135, 630, 924, 10, 32","74.415977, 74.697647, 74.504654, 74.234619, 74.006218"
IWAE,1,KaimingUni,Test_NLL+KL,97.24620971679687,0.08555696708366332,5,"135, 630, 924, 10, 32","97.185059, 97.486839, 97.408272, 97.084625, 97.066254"
IWAE,1,KaimingUni,Training_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,KaimingUni,Training_KL,22.93476791381836,0.12939075101563316,5,"135, 630, 924, 10, 32","23.031082, 22.424015, 23.143120, 23.042711, 23.032911"
IWAE,1,KaimingUni,Training_NLL,74.09306030273437,0.2127260132717324,5,"135, 630, 924, 10, 32","74.015236, 74.925560, 73.908997, 73.739723, 73.875786"
IWAE,1,KaimingUni,Training_NLL+KL,97.0278305053711,0.0945680474685542,5,"135, 630, 924, 10, 32","97.046318, 97.349579, 97.052116, 96.782440, 96.908699"
IWAE,1,XavierNormal,Test_Activity,14.4,0.24494897427831783,5,"135, 630, 924, 10, 32","14.000000, 15.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,XavierNormal,Test_KL,22.50702819824219,0.10475628287582746,5,"135, 630, 924, 10, 32","22.277813, 22.780924, 22.516108, 22.692741, 22.267555"
IWAE,1,XavierNormal,Test_NLL,74.12493896484375,0.1851262382103488,5,"135, 630, 924, 10, 32","74.725037, 73.743752, 74.066910, 73.758400, 74.330597"
IWAE,1,XavierNormal,Test_NLL+KL,96.63196716308593,0.09625648852265517,5,"135, 630, 924, 10, 32","97.002853, 96.524673, 96.583015, 96.451141, 96.598152"
IWAE,1,XavierNormal,Training_Activity,14.4,0.24494897427831783,5,"135, 630, 924, 10, 32","14.000000, 15.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,XavierNormal,Training_KL,22.593485260009764,0.15185358391437992,5,"135, 630, 924, 10, 32","22.267458, 23.098202, 22.482904, 22.766325, 22.352537"
IWAE,1,XavierNormal,Training_NLL,73.85572204589843,0.21020129293152845,5,"135, 630, 924, 10, 32","74.453720, 73.219078, 73.802727, 73.663040, 74.140045"
IWAE,1,XavierNormal,Training_NLL+KL,96.44920806884765,0.07758990672872901,5,"135, 630, 924, 10, 32","96.721176, 96.317284, 96.285629, 96.429367, 96.492584"
IWAE,1,XavierUni,Test_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,XavierUni,Test_KL,22.714784240722658,0.13162417711397775,5,"135, 630, 924, 10, 32","22.893051, 22.226244, 22.869457, 22.934038, 22.651131"
IWAE,1,XavierUni,Test_NLL,73.79133911132813,0.30949855050899583,5,"135, 630, 924, 10, 32","73.496101, 75.010307, 73.301895, 73.507561, 73.640831"
IWAE,1,XavierUni,Test_NLL+KL,96.50612182617188,0.1883225138114135,5,"135, 630, 924, 10, 32","96.389153, 97.236549, 96.171349, 96.441597, 96.291962"
IWAE,1,XavierUni,Training_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,XavierUni,Training_KL,22.821607971191405,0.12482961768543113,5,"135, 630, 924, 10, 32","22.987385, 22.326429, 22.926180, 22.971140, 22.896906"
IWAE,1,XavierUni,Training_NLL,73.55043182373046,0.22583557870197293,5,"135, 630, 924, 10, 32","73.440186, 74.440239, 73.327789, 73.196228, 73.347717"
IWAE,1,XavierUni,Training_NLL+KL,96.37204132080078,0.10744348924647222,5,"135, 630, 924, 10, 32","96.427574, 96.766670, 96.253967, 96.167374, 96.244621"
IWAE,5,KaimingNormal,Test_Activity,20.8,0.19999999999999998,5,"135, 630, 924, 10, 32","21.000000, 21.000000, 20.000000, 21.000000, 21.000000"
IWAE,5,KaimingNormal,Test_KL,22.90923957824707,0.061196285611251365,5,"135, 630, 924, 10, 32","22.991951, 22.797342, 22.822392, 22.823620, 23.110893"
IWAE,5,KaimingNormal,Test_NLL,69.66678466796876,0.07143789952896011,5,"135, 630, 924, 10, 32","69.575394, 69.757339, 69.838432, 69.725365, 69.437393"
IWAE,5,KaimingNormal,Test_NLL+KL,92.57602233886719,0.021473212701950663,5,"135, 630, 924, 10, 32","92.567345, 92.554680, 92.660820, 92.548981, 92.548286"
IWAE,5,KaimingNormal,Training_Activity,20.8,0.19999999999999998,5,"135, 630, 924, 10, 32","21.000000, 21.000000, 20.000000, 21.000000, 21.000000"
IWAE,5,KaimingNormal,Training_KL,22.996331024169923,0.03953690893866282,5,"135, 630, 924, 10, 32","23.059631, 22.946587, 22.884464, 22.984514, 23.106459"
IWAE,5,KaimingNormal,Training_NLL,69.69686126708984,0.06716396483917797,5,"135, 630, 924, 10, 32","69.642250, 69.813995, 69.895424, 69.568222, 69.564415"
IWAE,5,KaimingNormal,Training_NLL+KL,92.69319152832031,0.04022365214224591,5,"135, 630, 924, 10, 32","92.701881, 92.760582, 92.779884, 92.552734, 92.670876"
IWAE,5,KaimingUni,Test_Activity,20.8,0.3741657386773941,5,"135, 630, 924, 10, 32","21.000000, 22.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,KaimingUni,Test_KL,22.87342987060547,0.05580532570323602,5,"135, 630, 924, 10, 32","22.885170, 23.053881, 22.702063, 22.863653, 22.862383"
IWAE,5,KaimingUni,Test_NLL,69.75964813232422,0.1363381747412305,5,"135, 630, 924, 10, 32","70.135147, 69.405975, 69.940834, 69.496521, 69.819763"
IWAE,5,KaimingUni,Test_NLL+KL,92.63307647705078,0.11334552579488133,5,"135, 630, 924, 10, 32","93.020317, 92.459854, 92.642899, 92.360168, 92.682144"
IWAE,5,KaimingUni,Training_Activity,20.8,0.3741657386773941,5,"135, 630, 924, 10, 32","21.000000, 22.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,KaimingUni,Training_KL,22.95105400085449,0.07578732993393701,5,"135, 630, 924, 10, 32","23.025749, 23.201885, 22.756729, 22.887648, 22.883259"
IWAE,5,KaimingUni,Training_NLL,69.74630584716797,0.11825174188484762,5,"135, 630, 924, 10, 32","69.737549, 69.361526, 70.060844, 69.664391, 69.907219"
IWAE,5,KaimingUni,Training_NLL+KL,92.69736175537109,0.05767570664705502,5,"135, 630, 924, 10, 32","92.763298, 92.563416, 92.817574, 92.552040, 92.790482"
IWAE,5,XavierNormal,Test_Activity,20.2,0.19999999999999998,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,XavierNormal,Test_KL,22.66345100402832,0.06847281780578057,5,"135, 630, 924, 10, 32","22.624624, 22.699335, 22.492264, 22.903011, 22.598021"
IWAE,5,XavierNormal,Test_NLL,69.43231658935547,0.07031724853342544,5,"135, 630, 924, 10, 32","69.283722, 69.447456, 69.623909, 69.265076, 69.541420"
IWAE,5,XavierNormal,Test_NLL+KL,92.09576873779297,0.04758351952280996,5,"135, 630, 924, 10, 32","91.908348, 92.146790, 92.116173, 92.168091, 92.139442"
IWAE,5,XavierNormal,Training_Activity,20.2,0.19999999999999998,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,XavierNormal,Training_KL,22.693180084228516,0.06317045459025077,5,"135, 630, 924, 10, 32","22.696060, 22.762138, 22.467497, 22.848459, 22.691746"
IWAE,5,XavierNormal,Training_NLL,69.4618423461914,0.0875736687077945,5,"135, 630, 924, 10, 32","69.529907, 69.358475, 69.757851, 69.240768, 69.422211"
IWAE,5,XavierNormal,Training_NLL+KL,92.15502166748047,0.029307854601679343,5,"135, 630, 924, 10, 32","92.225967, 92.120613, 92.225349, 92.089226, 92.113953"
IWAE,5,XavierUni,Test_Activity,20.0,0.0,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 20.000000, 20.000000"
IWAE,5,XavierUni,Test_KL,22.69204444885254,0.05053447871384344,5,"135, 630, 924, 10, 32","22.662035, 22.726866, 22.748268, 22.513308, 22.809746"
IWAE,5,XavierUni,Test_NLL,69.48797912597657,0.034965737924983475,5,"135, 630, 924, 10, 32","69.536201, 69.439667, 69.374779, 69.527878, 69.561371"
IWAE,5,XavierUni,Test_NLL+KL,92.18002624511719,0.054569345030815265,5,"135, 630, 924, 10, 32","92.198242, 92.166534, 92.123047, 92.041183, 92.371124"
IWAE,5,XavierUni,Training_Activity,20.0,0.0,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 20.000000, 20.000000"
IWAE,5,XavierUni,Training_KL,22.707360458374023,0.025184086450219044,5,"135, 630, 924, 10, 32","22.661541, 22.690819, 22.731150, 22.659557, 22.793736"
IWAE,5,XavierUni,Training_NLL,69.49164733886718,0.03588920737210873,5,"135, 630, 924, 10, 32","69.530930, 69.577896, 69.414238, 69.398201, 69.536972"
IWAE,5,XavierUni,Training_NLL+KL,92.19900817871094,0.04747169971351855,5,"135, 630, 924, 10, 32","92.192474, 92.268715, 92.145386, 92.057762, 92.330704"
VAE,1,KaimingNormal,Test_Activity,15.0,0.31622776601683794,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 16.000000, 15.000000, 14.000000"
VAE,1,KaimingNormal,Test_KL,22.8566951751709,0.148644231212332,5,"135, 630, 924, 10, 32","22.798447, 22.751495, 23.372452, 22.903450, 22.457632"
VAE,1,KaimingNormal,Test_NLL,73.7963882446289,0.20231563179606601,5,"135, 630, 924, 10, 32","73.865112, 73.891968, 73.058403, 73.864601, 74.301857"
VAE,1,KaimingNormal,Test_NLL+KL,96.65308380126953,0.06088020692992583,5,"135, 630, 924, 10, 32","96.663559, 96.643463, 96.430855, 96.768051, 96.759491"
VAE,1,KaimingNormal,Training_Activity,15.0,0.31622776601683794,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 16.000000, 15.000000, 14.000000"
VAE,1,KaimingNormal,Training_KL,22.881604766845705,0.18933193026886824,5,"135, 630, 924, 10, 32","22.874029, 22.895834, 23.504541, 22.822182, 22.311438"
VAE,1,KaimingNormal,Training_NLL,73.7844741821289,0.27323295574982415,5,"135, 630, 924, 10, 32","73.788147, 73.845375, 72.841164, 73.897133, 74.550552"
VAE,1,KaimingNormal,Training_NLL+KL,96.66607818603515,0.08646290253997203,5,"135, 630, 924, 10, 32","96.662170, 96.741211, 96.345703, 96.719315, 96.861992"
VAE,1,KaimingUni,Test_Activity,16.0,0.31622776601683794,5,"135, 630, 924, 10, 32","16.000000, 15.000000, 17.000000, 16.000000, 16.000000"
VAE,1,KaimingUni,Test_KL,23.424725341796876,0.18132458319977288,5,"135, 630, 924, 10, 32","23.644432, 22.920586, 23.971872, 23.190254, 23.396482"
VAE,1,KaimingUni,Test_NLL,73.2543228149414,0.29160359865422764,5,"135, 630, 924, 10, 32","72.739693, 74.113083, 72.517845, 73.649208, 73.251785"
VAE,1,KaimingUni,Test_NLL+KL,96.67904815673828,0.11731629179713404,5,"135, 630, 924, 10, 32","96.384125, 97.033669, 96.489716, 96.839462, 96.648270"
VAE,1,KaimingUni,Training_Activity,16.0,0.31622776601683794,5,"135, 630, 924, 10, 32","16.000000, 15.000000, 17.000000, 16.000000, 16.000000"
VAE,1,KaimingUni,Training_KL,23.45354309082031,0.12573143478261806,5,"135, 630, 924, 10, 32","23.371483, 23.041685, 23.815647, 23.519161, 23.519739"
VAE,1,KaimingUni,Training_NLL,73.1990234375,0.1959823681045759,5,"135, 630, 924, 10, 32","72.899368, 73.951897, 72.900063, 73.193642, 73.050148"
VAE,1,KaimingUni,Training_NLL+KL,96.65256805419922,0.11756816857799378,5,"135, 630, 924, 10, 32","96.270851, 96.993576, 96.715714, 96.712807, 96.569893"
VAE,1,XavierNormal,Test_Activity,16.2,0.58309518948453,5,"135, 630, 924, 10, 32","18.000000, 17.000000, 15.000000, 15.000000, 16.000000"
VAE,1,XavierNormal,Test_KL,23.525522232055664,0.20515483215204558,5,"135, 630, 924, 10, 32","24.006792, 23.902935, 22.888727, 23.277494, 23.551662"
VAE,1,XavierNormal,Test_NLL,72.44575347900391,0.29224227193135416,5,"135, 630, 924, 10, 32","71.834717, 71.884697, 73.330681, 72.902092, 72.276581"
VAE,1,XavierNormal,Test_NLL+KL,95.97127532958984,0.09380468677143941,5,"135, 630, 924, 10, 32","95.841507, 95.787628, 96.219406, 96.179588, 95.828247"
VAE,1,XavierNormal,Training_Activity,16.2,0.58309518948453,5,"135, 630, 924, 10, 32","18.000000, 17.000000, 15.000000, 15.000000, 16.000000"
VAE,1,XavierNormal,Training_KL,23.426006698608397,0.2796107927563494,5,"135, 630, 924, 10, 32","24.210695, 23.892843, 22.782715, 22.865791, 23.377989"
VAE,1,XavierNormal,Training_NLL,72.51429443359375,0.3113364713800012,5,"135, 630, 924, 10, 32","71.685432, 71.984192, 73.237511, 73.182495, 72.481842"
VAE,1,XavierNormal,Training_NLL+KL,95.94030151367187,0.03903696838100858,5,"135, 630, 924, 10, 32","95.896126, 95.877037, 96.020226, 96.048286, 95.859833"
VAE,1,XavierUni,Test_Activity,16.0,0.31622776601683794,5,"135, 630, 924, 10, 32","16.000000, 15.000000, 17.000000, 16.000000, 16.000000"
VAE,1,XavierUni,Test_KL,23.308486557006837,0.15002013832663705,5,"135, 630, 924, 10, 32","23.036903, 23.075581, 23.869314, 23.335106, 23.225529"
VAE,1,XavierUni,Test_NLL,72.5671401977539,0.18814493823697961,5,"135, 630, 924, 10, 32","72.760086, 73.105629, 71.993530, 72.348068, 72.628387"
VAE,1,XavierUni,Test_NLL+KL,95.87562561035156,0.08283799770404163,5,"135, 630, 924, 10, 32","95.796989, 96.181213, 95.862839, 95.683167, 95.853920"
VAE,1,XavierUni,Training_Activity,16.0,0.31622776601683794,5,"135, 630, 924, 10, 32","16.000000, 15.000000, 17.000000, 16.000000, 16.000000"
VAE,1,XavierUni,Training_KL,23.338631057739256,0.1641867450316155,5,"135, 630, 924, 10, 32","23.345825, 22.809729, 23.846579, 23.320503, 23.370520"
VAE,1,XavierUni,Training_NLL,72.57039031982421,0.21071785996815062,5,"135, 630, 924, 10, 32","72.664612, 73.187119, 71.869255, 72.625359, 72.505608"
VAE,1,XavierUni,Training_NLL+KL,95.90902252197266,0.05373951290505288,5,"135, 630, 924, 10, 32","96.010437, 95.996849, 95.715836, 95.945862, 95.876129"
VAE,5,KaimingNormal,Test_Activity,15.4,0.5099019513592785,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 16.000000, 17.000000, 14.000000"
VAE,5,KaimingNormal,Test_KL,23.345273971557617,0.301882511168255,5,"135, 630, 924, 10, 32","23.258705, 23.282967, 23.711267, 24.146046, 22.327385"
VAE,5,KaimingNormal,Test_NLL,71.76988525390625,0.46083317695067805,5,"135, 630, 924, 10, 32","71.903099, 72.058327, 71.067047, 70.566437, 73.254517"
VAE,5,KaimingNormal,Test_NLL+KL,95.11515808105469,0.1653447966673516,5,"135, 630, 924, 10, 32","95.161804, 95.341293, 94.778313, 94.712479, 95.581902"
VAE,5,KaimingNormal,Training_Activity,15.4,0.5099019513592785,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 16.000000, 17.000000, 14.000000"
VAE,5,KaimingNormal,Training_KL,23.368754577636718,0.28946614273748933,5,"135, 630, 924, 10, 32","23.173544, 23.318436, 23.700602, 24.197756, 22.453436"
VAE,5,KaimingNormal,Training_NLL,71.61052093505859,0.389165675058026,5,"135, 630, 924, 10, 32","71.773537, 71.720627, 71.187363, 70.502327, 72.868752"
VAE,5,KaimingNormal,Training_NLL+KL,94.97927551269531,0.10209985318079103,5,"135, 630, 924, 10, 32","94.947075, 95.039062, 94.887970, 94.700081, 95.322189"
VAE,5,KaimingUni,Test_Activity,15.4,0.5099019513592784,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 14.000000, 16.000000, 17.000000"
VAE,5,KaimingUni,Test_KL,23.36392822265625,0.3522849240759902,5,"135, 630, 924, 10, 32","23.054970, 23.422705, 22.257946, 23.695314, 24.388706"
VAE,5,KaimingUni,Test_NLL,71.99591369628907,0.48259272928054864,5,"135, 630, 924, 10, 32","72.261574, 72.006149, 73.612175, 71.353813, 70.745857"
VAE,5,KaimingUni,Test_NLL+KL,95.35984344482422,0.14392828804277252,5,"135, 630, 924, 10, 32","95.316544, 95.428856, 95.870117, 95.049133, 95.134567"
VAE,5,KaimingUni,Training_Activity,15.4,0.5099019513592784,5,"135, 630, 924, 10, 32","15.000000, 15.000000, 14.000000, 16.000000, 17.000000"
VAE,5,KaimingUni,Training_KL,23.456729125976562,0.3136991726820901,5,"135, 630, 924, 10, 32","23.200214, 23.315262, 22.548092, 23.791384, 24.428694"
VAE,5,KaimingUni,Training_NLL,71.70008850097656,0.43334534362923155,5,"135, 630, 924, 10, 32","71.988708, 71.774895, 73.074631, 71.196640, 70.465569"
VAE,5,KaimingUni,Training_NLL+KL,95.15681762695313,0.12648417078452917,5,"135, 630, 924, 10, 32","95.188927, 95.090157, 95.622719, 94.988022, 94.894264"
VAE,5,XavierNormal,Test_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
VAE,5,XavierNormal,Test_KL,22.82032890319824,0.11443368577929529,5,"135, 630, 924, 10, 32","22.905518, 22.373610, 22.964596, 23.002007, 22.855915"
VAE,5,XavierNormal,Test_NLL,71.89267425537109,0.1923462954194856,5,"135, 630, 924, 10, 32","71.770912, 72.639725, 71.612846, 71.599411, 71.840477"
VAE,5,XavierNormal,Test_NLL+KL,94.71300201416015,0.07830584566656999,5,"135, 630, 924, 10, 32","94.676430, 95.013329, 94.577446, 94.601418, 94.696388"
VAE,5,XavierNormal,Training_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
VAE,5,XavierNormal,Training_KL,22.933652496337892,0.1138897925430116,5,"135, 630, 924, 10, 32","23.017260, 22.520094, 22.875134, 23.163368, 23.092407"
VAE,5,XavierNormal,Training_NLL,71.68231964111328,0.1682550349647412,5,"135, 630, 924, 10, 32","71.617729, 72.313553, 71.661583, 71.325310, 71.493423"
VAE,5,XavierNormal,Training_NLL+KL,94.61596984863282,0.059638785002888314,5,"135, 630, 924, 10, 32","94.634987, 94.833641, 94.536713, 94.488678, 94.585831"
VAE,5,XavierUni,Test_Activity,14.8,0.48989794855663565,5,"135, 630, 924, 10, 32","13.000000, 16.000000, 15.000000, 15.000000, 15.000000"
VAE,5,XavierUni,Test_KL,22.833834075927733,0.25572060602868985,5,"135, 630, 924, 10, 32","21.851400, 23.348644, 23.024776, 22.933966, 23.010384"
VAE,5,XavierUni,Test_NLL,72.06179962158203,0.40237319331627874,5,"135, 630, 924, 10, 32","73.641800, 71.375504, 71.709923, 71.784775, 71.796997"
VAE,5,XavierUni,Test_NLL+KL,94.89563446044922,0.15024362222060098,5,"135, 630, 924, 10, 32","95.493195, 94.724152, 94.734703, 94.718742, 94.807381"
VAE,5,XavierUni,Training_Activity,14.8,0.48989794855663565,5,"135, 630, 924, 10, 32","13.000000, 16.000000, 15.000000, 15.000000, 15.000000"
VAE,5,XavierUni,Training_KL,22.890794372558595,0.2926196848155824,5,"135, 630, 924, 10, 32","21.794479, 23.556353, 23.035234, 22.980103, 23.087803"
VAE,5,XavierUni,Training_NLL,71.76697082519532,0.4207154688398415,5,"135, 630, 924, 10, 32","73.368828, 70.876244, 71.492844, 71.619385, 71.477554"
VAE,5,XavierUni,Training_NLL+KL,94.65776672363282,0.12942695783571362,5,"135, 630, 924, 10, 32","95.163307, 94.432594, 94.528084, 94.599487, 94.565361"
